filename,resume_text,top match JD 1,top match JD 2,top match JD 3,top match JD 4,top match JD 5
10100240.pdf,"CARPENTER APPRENTICE
Professional Summary
Former construction and carpentry worker committed to high-quality workmanship and safe environments. Over 4 years of hands-on experience
working with remodeling projects in residential and commercial construction. Dedicated work ethic and exceptional attendance record. I am
motivated to learn new trades and skills. Interested in growing career and fostering leadership capabilities. Professional Construction Laborer with
excellent interpersonal skills. Works in timely and efficient manner to see tough jobs through to completion.
Skills
Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice , 10/2017 to 09/2019 
Company Name â€“ City , State 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired woodwork, millwork and cabinetry under supervision of master carpenter
Kept job site cleaned up properly and all debris disposed of in respective containers
Interpreted specifications and construction drawings to understand tasks necessary to complete each job
Accepted feedback from foreman and journeyman carpenter, implementing suggestions into later work
Observed all OSHA and corporate safety regulations and procedures
Led variety of projects from start to finish, including garages, residential homes and additions
Repaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time
Effectively used all fasteners such as nails, screws, pneumatic nailing systems, concrete anchors, powder-actuated fasteners and framing
connectors
Proactively managed projects to obtain 100% customer satisfaction for all custom work
Installed interior finish items, including wall protection, doors and hardware, toilet accessories, cubicle curtain tracks and TV brackets
Installed drywall, ceilings, trim and fabricated replacement trim and moldings
Construction Worker , 08/2016 to 09/2017 
Company Name â€“ City , State 
Supported customer preferences with basic carpentry work such as installing wooden floors and crown molding
Consulted with customers to understand desires and help each owner meet individual property objectives
Gathered and disposed of work site debris to remove safety hazards and boost team productivity
Monitored materials inventory and requested items for restocking for each job
Loaded and unloaded building materials used for construction
Safely operated mowers, chain saws, electric clippers, sod cutters and pruning saws to clear construction sites, roadbeds and access roads
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs
Enhanced team efficiency and multitasking abilities by effectively using hand tools, power tools and equipment
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized
Education
High School Diploma : 04/2010 
Buffalo High School - City , State 
CSHO (Certified Safety & Health Official) , 01/2020 
TEEX - City 
Skills
Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice , 10/2017 to 09/2019 
 Company Name â€“ City , State 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired woodwork, millwork and cabinetry under supervision of master carpenter
Kept job site cleaned up properly and all debris disposed of in respective containers
Interpreted specifications and construction drawings to understand tasks necessary to complete each job
Accepted feedback from foreman and journeyman carpenter, implementing suggestions into later work
Observed all OSHA and corporate safety regulations and procedures
Led variety of projects from start to finish, including garages, residential homes and additions
Repaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time
Effectively used all fasteners such as nails, screws, pneumatic nailing systems, concrete anchors, powder-actuated fasteners and framing
connectors
Proactively managed projects to obtain 100% customer satisfaction for all custom work
Installed interior finish items, including wall protection, doors and hardware, toilet accessories, cubicle curtain tracks and TV brackets
Installed drywall, ceilings, trim and fabricated replacement trim and moldings
Construction Worker , 08/2016 to 09/2017 
Company Name â€“ City , State 
Supported customer preferences with basic carpentry work such as installing wooden floors and crown molding
Consulted with customers to understand desires and help each owner meet individual property objectives
Gathered and disposed of work site debris to remove safety hazards and boost team productivity
Monitored materials inventory and requested items for restocking for each job
Loaded and unloaded building materials used for construction
Safely operated mowers, chain saws, electric clippers, sod cutters and pruning saws to clear construction sites, roadbeds and access roads
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs
Enhanced team efficiency and multitasking abilities by effectively using hand tools, power tools and equipment
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized
","we have an immediate need for  local or remote construction managers project managersconstruction to handle assignments out of our concord nh office this manager will become an integral part of the construction team and under the direction of our directors of construction as an experienced construction project manager you will work with our inhouse project design team and other licensed professional engineers governing authorities subcontractors and clients to manage construction projects in the food beverage and life science manufacturing sectors our construction manager will interface with our fortune  clients who are industry leaders to provide quality project execution and will require travel to our various client facilities

some traits and skills wanted for this position are

experience on the contract administration side of construction projects negotiating contracts develop schedules budgets and estimating putting bids together for buyouts and final presentation familiar with one or more sw packages such as procore bluebeam ms project office outlook timberline autocad revit

responsibilities

responsible for effective safe quality timely cost effective execution of industrial construction project work on site through planning coordination and control of construction resources and activities from inception to project closeout
 responsible for ensuring that all materials of construction and methods of construction conform to company industry and regulatory standards specifications and requirements
 responsible for managing the entire contractor bidding process from assembly of bid packages conducting job walks evaluating bids and coordinating contractor mobilization activities
 will work as an extension of the clients project team including project manager site engineer and plant manager

requirements
 ideal applicant will have  yrs maximum total experience in various construction roles project engineer site superintendent construction project manager
 minimum  years experience as a construction manager industrial structures experience needed with overall project responsibility ideally gained from an ae design build firm
 highly desired is any experience as a construction manager in industrial structures aimed at the food beverage and consumer products pharmaceutical or related industries
 successfully completed industrial projects with values ranging from  to 
 project experience and working knowledge of process systems and ability to read pids
 proficiency with microsoft outlook word excel and ms project is desired
 manufacturing site experience is preferred
 relocation for this position is not required this is intended as a permanent career position we are looking for highly qualified applicants either local to one of our  offices or established airport and transportation services
 travel  flexibility for travel to jobsites most of this travel will be regional to construction jobsites or for assignments at client facilities to provide supervision oversight of construction activities

education
 bs degree in engineering construction management or related technical degree field
 equivalent years of experience in construction management for manufacturing facilities can be substituted for degree

licenses and certifications
 completion of osha  or hour training required
 construction project management accreditation  certification or equivalent experience","position summary

the construction project manager will be accountable for expansion project execution including construction documentation build management scheduling move planning and budget management this position works in close collaboration with the director of real estate property coordinator and facilities team to ensure tep construction projects are executed on brand on time and on budget

responsibilities
 lead development of complete construction documentation which reflects design intent and brand standards
 guide architectural and construction vendors throughout construction process with key role in providing design direction for structural electrical and mechanical systems
 facilitate the seamless integration of it infrastructure security and access controls
 partner with stakeholder groups on tactical execution details it nutrition medical compliance etc integrating those requirements into architectural planning
 manage approved project budget and timelines with key responsibility to accurately integrate it budgets related to construction
 identify risks to budget timeline and project execution escalating to director of real estate as required
 administrate the bidding construction change order and submittal process using aia standards and in accordance with local building codes
 participate in internal expansion planning activities with key role in setting and maintaining project timelines
 coordinate deliverables and start of services with facility manager purchasing and outside vendors
 oversee project completion including move in activities aia close out documentation and punch list completion
 create archival files submittals materials and project records in accordance with aia standards

qualifications
  yr degree in architecture interior design facility management related field or equivalent
  years field experience in construction construction management or related field
 demonstrated success in managing  complex construction projects
 expert in communication documentation and attention to detail

education

preferred
 bachelors or better in architecture or related field","mcm company inc

job description senior project manager

posting april 

mcm company inc is a program management and real estate development company that helps stakeholders navigate the complexities of healthcare institutional and specialty program management projects as well as development of historic renovations by identifying leveraging and managing all available resources we are a  womanowned business nationally recognized for our expertise in historic tax credit redevelopment and program management the firm has a significant portfolio of redeveloped marketrate housing properties

position overview

the project manager will be a seasoned construction andor real estate development management professional with  years of experience on small to complex projects including mixeduse housing healthcare andor institutional real estate developments the pm is involved throughout all stages of development and will oversee preconstruction construction and postconstruction processes should understand the overall development process for a given project anticipate and address potential issues before they arise and make key decisions related to project challenges this hire will be exposed togain experience with financial proformas land acquisition development agreements and project entitlements the successful candidate should be an effective problem solver who is wellorganized with excellent communication skills hardworking motivated and willing to learn must be able to travel up to  days monthly to various job sites overnight stay is required

responsibilities

participate in owner architect and contractor meetings for preconstruction and construction phases of assigned projects or development development consulting

review drawings throughout conceptual schematic and design development phases to ensure program code and regulatory requirements and owners requirements are incorporated

oversee estimating services to include conceptual schematic and design development and construction document phases review analyze and summarize bids and work scopes on assigned projects in coordination with the projects construction manager

coordinate owner selections with budget and construction documents

securedistribute information required for permit and zoning processes with design team

participate in permit processes and attend city meetings and hearings if required

create and manage project schedules for assigned projects

engage and oversee utility companies environmental and thirdparty consultants and coordinate utility requirements with the mep stakeholders

manage coordinate and oversee owner furnished items for assigned projects

advise andor suggest improvements to design that contribute to efficient functionality sustainable build mitigated risk and protect the clients investment participate in value management process assess evaluate analyze alternative engineering collaborate wproject team and stakeholders to stay within budget

coordinate mep it and low voltage systems on assigned projects

direct and review construction managers activity onsite

conduct site walkthroughs as required to confirm projects are on schedule and document potential issues

conduct shop drawing reviews to identify potential discrepanciesconflicts and provide recommendations to the team

define the change order process between the cm and ownerdeveloper monitor and manage the process to ensure budget compliance recommend alternatives and verify that costs are legitimate and reasonable

review project submittals to ensure selections are correct and that they coordinate with

construction documents and the owners design

work directly with applicable city departments to ensure projects are compliant to receive certificate of occupancy

qaqc observation on assigned projects

participate in punch list walkthroughs

ensure commissioning process occurs in a timely manner and is completed postconstruction

coordinate with transition planningbuilding activation teams to facilitate occupancy as needed

experience requirements

project managementestimatingsite supervision experience for historic institutional and healthcare projects

real estate development experience for historic properties

experience with construction field supervision

demonstrated excellence in project communication and working with multiple stakeholders in collaborative environments

demonstrated excellence in managing and adhering to budgets and schedules from design through construction and project activation

ability to recommend and provide design and space layout input that will ensure efficient environments within historic properties primarily marketrate housing

highly proficient in understanding mechanical electrical plumbing and technology systems and how they affect project design

ability to read and understand drawings and how they translate into the field

proficient in ms office word excel project bluebeam autocad or similar systems preferred

job type fulltime

schedule monday to friday

salary   

education babs in construction management engineering or related field a combination of educationexperience may substitute for degree

license drivers license  valid required

work location primary office various property sites

benefits health insurance dental insurance  pto other site amenities

setting office developed and undeveloped property sites

this job is a unique combination of skills likely coming out of a construction company development company architectural firm or construction services department of a large corporation or institutional setting a position for which experienced candidates of all ages including older job seekers are encouraged to apply

to apply submit a resume wcover letter explaining your interest in the position to info re sr project manager position be prepared to submit evidence or a portfolio of projects on which you worked demonstrating your proficiencies in the required experience","under general direction of the director of construction projects department the senior project manager pm is accountable to deliver capital and noncapital projects on schedule and within the established budget while managing the scope of the project to meet the most appropriate needs of the client the project manager simultaneously organizes plans and controls the design construction and fitup for multiple projects across multiple timelines types of projects include renovations new facilities infrastructure and site work with the majority of projects in oshpd  facilities specific tasks include evaluating existing building conditions meeting with user groups to obtain specific project objectives preparation of program definition conceptual space planning and design cost estimating project schedules and preparation of project charters for presentation and approval

the project manager is the liaison between all stakeholders they are responsible for coordinating the activities of the clients design professionals architect engineers etc contractors vendors inspectors regulatory and others individuals associated with the project they will ensure the compliance of all state agency requirements working closely with our internal and external officials for cdph and oshpd the project manager will act independently exercising sound judgement in their approaches techniques and methods to deliver projects they will responsibly communicate with our clients and leadership on project status related to scope schedule cost and quality

predesign

meet with users to help define project scope and program managing that program to assure the project meets client needs

manage the collection of program data including space and adjacency needs functional requirements operational workflows and goals equipment needs and forecast staffing

establish expectations and a plan for ongoing communication and coordination between project stakeholders focused on budget and schedule to ensure we are meeting the goals of users and health system at large

provide predesign services including site analysis existing building investigation program development rough order of magnitude rom estimates preliminary schedule development conceptual designplans and a project charter this package will be the presentation to our capital project review committee cprc for review and approval

existing building investigations will be conducted including site walks and coordination with facilities engineering you will analyze facility conditions related to current applicable code regulatory requirements requested and future program health standards and funding requirements

research and troubleshoot potential problems and consult with users and project stakeholders on your findings about constructability operational alternatives to a construction project and potential value engineering

create projects in our project management application procore uploading schedules budgets and all related documents all documents will live and be maintained on procore and it will be used for updating and reporting out status as required by users project team and uc san diego health leadership

estimating 

develop roms and budgets by leveraging historical data accepted building trade information and collaborating with internal stakeholders roms and estimates will include labor hours materials preliminary schedules means and methods hard construction costs and project soft costs

will use their knowledge of estimating to review contractor bid budgets to ensure they are accurate and capture the full project scope

design 

hire and manage architectural and engineering firms to develop full project definitions coordinate and produce construction documents provide construction administration and closeout services

prepare consultant contracts and authorizations establish priorities ensure adherence to ucop policies and procedures evaluate work and approve payments

oversee independent reviews of design and construction documents for adherence to applicable codes programs health design standards and agency requirements these may include outside estimate review value engineering and constructability assessments

develop criteria and performance specifications required to meet our unique operating and building safety requirements

ensure that plans and specifications conform to all codes and regulations related to the office of statewide health planning and development oshpd and state fire marshal sfm code and policy requirements for hospital and clinical construction

bid  construction

when required manage the preparation of request for proposals rfps and request for qualifications rfqs and will direct the prequalification process of potential bidders

oversee preparation of bidding documents by design professionals coordinating bidding process with our contracts team in conformance to university policies and procedures

directly responsible for the administration of contracts and the contractors schedule and budget

final approval of submittals rfis negotiation and approval of change order and payment requests and punch list items

represents the university and health system on site monitoring contractor operations for conformance to contract documents and applicable codes they support and monitor work of inspectors and actively assist contractor and design team in the resolution of technical and procedural issues

closeout

when required coordinate with regulatory staff to assemble all documents required for licensing with california department of public health cdph

provide operational and performance testing commissioning of building systems like hvac electrical systems fire and life safety systems diagnostics telecom and information technology and patient monitoring

provide record drawings to facilities management facilities engineering and campus planning

coordinate with finance staff to ensure all deliverables have been received payment requests have been processed and accounts have been closed out

minimum qualifications

a bachelors degree in architecture engineering construction management business healthcare administration or related area andor equivalent combination of experiencetraining

five  or more years of project management experience preferably managing construction projects in an oshpd  acute care hospital environment

experience and knowledge of building and construction design engineered systems construction contract administration and california building codes including advanced understanding of industry practices or deep expertise in a highly specialized and critical discipline

thorough working knowledge of design building and construction contract administration and full understanding of industry practices experience of current project and construction costs and with industry standard cost estimating must have financial skills to develop and manage project budgets

comprehension of california building code americans with disabilities act ada office of statewide health planning and development ohspd california department of public health cdph state fire marshal sfm and policy requirements for hospital construction

ability to work effectively with diverse user groups and departments and be responsive to their needs excellent communication skills that demonstrate you are an effective courteous and diplomatic professional and can interact with a highly diverse population

outstanding soft skills in problem recognition avoidance and issue resolution

familiarity with design and construction contracts contract law public contracting code and construction claims procedures ability to draft agreements consistent with regental policy

preferred qualifications

ten  years of experience in construction management andor supervision

architectural engineering or general contractors license

experience working in an academic medical center setting

familiarity with the ucop facilities manual policies and procedures

experience with medical imaging modalities

familiarity with california public contracting code and prevailing wage requirements

estimating and construction administration experience

hospital experienceknowledge of hospital infrastructure

special conditions

must be able to work various hours and locations based on business needs

employment is subject to a criminal background check and preemployment physical","overview
location of construction pm currently seeking construction project managers currently located in the northeast market near a major airport
 
travel extensive travel typically overnight tuesdaythursday weekly with potentially more travel as needed based on business needs
 
this manager of construction projects is responsible for visiting budgeting developing plans conducting formal bidding managing construction activities and conducting all contract administration including contract modifications and pay applications for new relocated and construction projects at existing stores 

responsibilities
direct general contractors architects and vendors to complete construction projects while meeting contract requirements and tractor supply company tsc required timelinesreview construction contracts and pay requests per the detailed and dynamic contract checklists and pay application checklistsreview and monitor projects by developers and landlord contractors for compliance with tsc building requirements and schedules conduct a thorough review of all hard copy documents and well as the electronic information such as the weekly project reportsnegotiate review and approve change orders for both prototype and retrofit projects as well as special projects per the change order processperform a thorough review of all new store plans including civil architecture engineering ae mechanical electrical and plumbing mpe etcupdate the standard criteria plans scp quarterly to ensure tsc stores are designed effectively and efficientlycomplete all necessary documentation and coordination for tsc zoning approvalprepare bid information per tscs standard bidding process using our standard invitation to bid form and plans and applicable addendumsprepare bid information for tsc owned stores including bid books and all relevant documentation to be sent to the bidding general contractorssurvey existing buildings and prepare scope of work provide a complete review of the building including roof inspection hvac inspections etcbudget for remodeled buildings to build out for new tsc storesparticipate and contribute to the continual cost efficiency and design reviews for all construction via weekly construction and cross departmental meetingsprocess closeout documents ensuring all items per the closeout checklist is complete and manage the month warranty process for all retrofit projectsstore and file all important materials in project files and send final plans to external vendor for data backup after the project is complete
qualifications
experience  years of related business experience
 
education bachelors degree from an accredited college or university in construction management or related field is preferred
any suitable combination of education and experience will be considered
  
other knowledge skills or abilities
knowledge of commercial construction methods costs contract documentation and processesknowledge of plan reading basic sketching and construction terminologyproficient in microsoft officestrong negotiation communication problemsolving time management and interpersonal skillsability to prioritize tasksdeadline  detailoriented approach to workability to travel extensively"
10674770.pdf,"STAFF ACCOUNTANT
Summary
Highly analytical and detail-oriented professional; possessing extensive financial statement background in quality assurance, compliance, auditing,
customer service and regulatory requirements. Thorough knowledge of: financial reporting, cash and accrual basis accounting, fund basis reporting,
GAAP and other accounting standards. Adapt quickly when new software and systems are installed. Proficient with: QuickBooks, MAS, ADP,
Condo Manager, Adobe, and all Microsoft applications software. Excel in problem solving and strategic planning skills.
Highlights
DBA Quick Books MAS - Sage Software Microsoft Excel ADP Drive Microsoft Access Condo Manager Microsoft Word
Education
Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting
Bachelor of Science : Business Administration Finance , May 2010 Business Administration Finance
Experience
Staff Accountant 
January 2014 to October 2014 Company Name ï¼​ City , State
Performed all month end functions to produce financial statements.
The functions include: reconciliation of the operating and payroll bank accounts, recorded sales for the month, recorded payroll journals,
accrued payroll, recorded sales tax, submitted sales tax to NC department of revenue, recorded inventory adjustments, and recorded
balance sheet month end entries.
Entered all payables and receivables for the 7 franchise locations.
Worked with vendors to resolve any situations that arose.
Reviewed and maintained that all needed franchise document were on file and up to date.
Worked directly with controller on year-end review.
Assembled all requested financial and legal documentation that was put into presentable formats.
Maintained weekly spreadsheet on collected franchise royalties and advertising fees.
This spreadsheet is used for the year-end audit.
Managed a company that owned and rented out 12 commercial properties of a shopping center to approved businesses.
Responsible for: negotiating rent rates for new or renewing tenants, writing leases, collecting rent, cash flow management, payables, and
resolving any tenant complaints or inquires.
Managed a company that was a small farming entity.
Responsible for maintaining cash flow, all payables, and setting up credit accounts with vendors.
Entered all payroll journals and maintained cash flow for company that employed labor to work at farming entity.
Filed North Carolina Annual Report for all companies managed by Cary Keisler Inc.
and verified that all were current on their filings.
Staff Accountant 
March 2013 to January 2014 Company Name ï¼​ City , State
Collect daily deposits for newly entered SOs as well the balance for any SO that has completed once a job status report has been ran.
Interact directly with customers on outstanding deposits and balances due.
Responsible for all PO and non PO payable entry/coding for all companies.
Work directly with vendors to resolve and discrepancy with payables.
Pull weekly-unpaid bills reports that are used for cash flow projections.
Complete weekly check run for all companies.
Reconcile monthly purchasing American Express credit card that ranges from $60,000.00 - $100,000.00+.
Helped facilitate roll of purchasing manager during turnover period from September 2013 - December 2013.
Responsible for ordering needed materials/supplies for factory production floor.
Worked directly with VP of Finance and members of the production floor in collection of data to develop unit valuation.
This information combined with continued data collection is being used for future bills of materials and job costing.
Staff Accountant 
April 2012 to March 2013 Company Name ï¼​ State
Lead reconciliation of Balance Sheet to ensure no discrepancy with General Ledger.
Research and resolve any transaction deviating from ordinary operations.
Run Project Cost Reconciliation at month end to ensure all billable expenses are posted to a project.
This ensures all enries are posted to the correct project and General Ledger account.
This provides billing information as well as the correct bottom line for each project.
Design Excel Spreadsheet for prepaid employee benefits for EOM reconciliation purposes.
Reconcile American Express accounts for SDI and Battleware.
10 Accounts) Responsible for all entry and custodial book keeping of SDI's fixed assets for depreciation purposes.
Daily reconciliation SDI's Operating, Interest Sweep, and Line of Credit accounts for most accurate cash projections.
Responsible for coding and entry of all Payables items for SDI and Battleware.
Prepare monthly Sales and Use Tax.
Financial Management Partner 
 July 2010 to August 2011 Company Name ï¼​ City , State
Identified, reported, tracked, and resolved subsidiary ledger discrepancies in all phases of the revenues and receivables accounting
processes.
Provide an end to end financial statement assurance and accurate presentation by aiding and completing tasks in all areas of operations;
performing all monthly bank reconciliations, applying all required financial regulations in preparing and delivery of financial statements.
Provided Support to clients and other employees via email on implementations, software support, and financial reporting issues in all aspects
of day-to-day operations.
Trained new accounting department employees with functionality demonstration to assist in proficient accounting support and software
transitioning i.e.
QuickBooks, Peachtree and excel transitioning.
Able to perform duties of all departments of accounting including accounts payable, accounts receivable, legal coordination and transactional
audit and review.
Coordinate Lien and Foreclosure preparations, research ownership status and balance histories in order to accurately file legal claims on
behalf of our cliental.
Constant analysis of all clients' interim financial reports and comparative statements to verify the validity and monitor for inconsistency.
Prepare variance reports and explanations to quickly summarize areas of increased variances in expenses.
Assist other areas of management in fund accounting budget preparations and presentation at annual and monthly board meetings.
Coordinate and prepare materials for audits, review, and tax returns.
Assist in annual budget preparations, prepare billings for all cycles, perform all adjusting month end transactions and required G/L posting
entries required to correct errors or balance discrepancies.
Interests
Alpha Sigma Phi: Officer and Chair positions January 2006- May 2010 Vice President Social Chair Greek Week Delegate Livestrong
Foundation: Bike-a-thon
Skills
accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,
book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,
financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft
Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick
Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end
Additional Information
Activities: Alpha Sigma Phi: Officer and Chair positions January 2006- May 2010 Vice President Social Chair Greek Week Delegate
Livestrong Foundation: Bike-a-thon
","requirements for senior accountant
 minimum of five  years related experience in banking
 bachelors degree in accounting finance business or related field
 specialized bank financeaccounting educationtraining
 thorough knowledge of general ledger reconciliations and accounts payable
 thorough knowledge of gaap and financial reporting requirements
 proficient in
 english reading writing grammar and mathematics
 interpersonal relations and communication skills
 organizational and processproject management skills
 pc skills including microsoft office
 accounting skills

we offer the following excellent benefits to our fulltime employees
 medical insurance
 dental insurance
 vision insurance
 life insurance employer paid
 ltd insurance employer paid
 paid federal bank holidays
 flexible spending account
 health savings account employer contributed
 k matching
 pto paid time off
 lifemart employee discount program

your responsibilities will include
 perform various duties to support the banks accounting financial reporting and control functions
 coordinate work within all departments and respond to inquiries for information
 comply with operating policies and procedures established for the accounting function
 maintain appropriate records and provide assigned reports
 perform various duties to support the banks accounting financial reporting and control functions
 prepare monthly financial statements reports and records by collecting analyzing and summarizing account information
 prepare journal entries and reconciliations for monthly general ledger close
 maintain the banks accounting systems for accounts payable fixed assets prepaid expenses and accrued expenses including related processing and reporting
 maintain the banks internal demand deposit accounts and reconcile account statements
 review bank statements and reconcile general ledger balances with corresponding banks such as the frbny fhlbny and acbb
 research and reconcile all discrepancies including auditing and verifying all financial documents
 prepare vendor checks utilizing accounts payable system process incoming and outgoing wire transfers and prepare sales and use taxes
 assist with testing of the system reports required for management financial reporting and general ledger reconciliations
 assist with completion of quarterly and annual regulatory reporting including the call report summary of deposits gudpa and fr 
 assist with preparing for various audits and regulatory examinations by gathering requested materials and assist in preparing assigned schedules
 assist with various accounting related projects and special projects as assigned
 crosstrain in order to perform backup duties for other financeaccounting personnel as required
 abide by current laws and organizational policies and procedures to promote an environment free of harassment and discrimination
 cooperate with participate in and support the adherence to all internal policies procedures and practices in support of risk management and overall safety and soundness and the banks compliance with all regulatory requirements ie community reinvestment act cra bank secrecy act bsa equal credit opportunity act etc
 maintain appropriate records and provides assigned reports

first commerce bank is dedicated to providing people businesses and communities in our markets with high quality products and services with superior customer service we provide products and services through secure userfriendly technology and customer friendly locations our relationships are founded in our responsiveness to the financial needs of our customers in an atmosphere of personal attention professionalism trust integrity and fairness first commerce prides itself on maintaining personal communications beginning with the board of directors

first commerce bank is an equal opportunity employer all qualified applicants receive consideration for employment without regard to race color religion sex age disability protected veteran status national origin sexual orientation gender identity or expression genetic information or any other characteristic protected by applicable law",we are looking for a senior accountant job requirements responsibilities accounting  assist in the monthly accounting close procedures including proper periodend cutoff and accounting close schedule  maintain general ledger processing  prepare and enter monthly journal entries reconcile monthly transactions for accuracy and completeness  perform bank reconciliations and cash postings  reconcile and post credit card transactions to the appropriate accounts  maintain prepaid expenses and associated amortization schedule reporting  analysis  assist in preparation of the monthly financial reports for the bank and the management  kpi reporting audits  examinations  assist with annual external review and semiannual bank field exam complete requested materials assist in preparing assigned schedules  assist controller with regulatory reporting  works with the cfo to streamline procedures identify and correct issues and improve efficiencies participate in various projects qualifications  undergraduate degree in accounting or finance  public accounting firm andor corporate accounting experience  minimum of  years of related work experience  possess a working knowledge of us gaap  high level technical skills in excel  excellent analytical and communication skills  experience with netsuite and quickbooks accounting systems  staffing industry experience is a big plus,"job description

about the role

as part of the finance  accounting team you will perform andor oversee advanced accounting duties involving ar ap expense management fixed assets internal controls preparing and posting accruals assistance in sales  income tax monthly close and analytical reporting  you will also oversee a team of accounting associates you will need to drive collective team efforts while successfully executing your own responsibilities while this is a remote position preference will be given to candidates located in orlando

what youll do

expense  cash management
 record employee benefit and other recurring expenses into accounting system ensuring proper gl coding and timely payment
 process and analyze weekly check run identify ways in which to decrease the cash flow gap
 administer banking  cash functions schedule ach payments wires print checks process positive pay and stop payments post daily activity in gl

sales  use and property taxes
 accumulate sales tax data and ensure proper coding to taxing location prepare tax packet for periodic filing and payment of taxes
 maintain the schedule of estimated quarterly income tax payments and coordinate payments
 oversee setup of new sales  use tax registrations

reporting  analysis
 prepare account reconciliations post basic journal entries ensure proper account coding and research and correct account discrepancies
 prepare  distribute weekly sales reporting and support adhoc reporting needs
 assist with balance sheet pl fluctuation analysis preparation of the quarterly forecasts month end closing

you will also be working with manager to guide coach and mentor staff

you might be a good fit if you have
 a bachelors degree in accounting or finance from an accredited university
 a minimum of  years of general accounting experience
 a thorough understanding of accounting principles and also have strong emphasis on customer service
 strong analytical skills excellent written and verbal communication skills
 strong proficiency with ms word and excel and have the ability to scrutinize details

bonus if you have
 public accounting experience
 experience in the utilities industry andor in a distribution environment
 large mrp system experience
 experience in managing a team of professionals

location orlando remote

zr","lhh recruitment solutions is seeking qualified candidates for an assistant controller role if you want to work for a company with tremendous growth opportunity a work hard and play harder culture and the ability to progress quickly in your career this opportunity is for you if you are open to relocation in order to progress your career please apply to discuss this great opportunity located in iselin nj this role is  onsite and is an all encompassing accounting business manager operation role for a well established company

duties and responsibilities
 assist in maintaining general ledger accounts by reconciling underlying documents to ledger
 assist with month end close
 assist in preparing quarterly monthly and annual financial statements for review
 assist in performing analysis on all balance sheet and income statement financial statement line items and identify variances
 assist in preparation of underlying worksheet to support balance sheet line items
 connection between accounting and finance and business operations

qualifications
 bachelors degree in accounting or finance
 cpa certification or cpa candidate preferred
  years of accounting experience including related accounting internships
 proficient in math and accounting skills
 must be detail and deadline oriented with an attention to detail
 must be a selfstarter and a team player
 understanding of generally accepted accounting principles and application
 advanced excel skills

compensation

 dependent on level and experience

if you are interested in this position or any other accounting and finance career opportunities please apply and contact kellie sclafani at kelliesclafanilhhcom

to read our candidate privacy information statement which explains how we will use your information please visit 

equal opportunity employerveteransdisabled","about the job
senior accountant
our client is a global leader within the world of fragrance and personal care ingredients due to continued growth of the business in the us we are seeking a senior accountant hybrid position with time in the office and home

the role
ensure the timely and accurate posting balancing and reconciliation of the general ledger for all divisionprepare work papers financial statements and various reports for internal and external auditsresearch and analyze fluctuations between current financial results compared to prior year prior month and budgeted amountsprepare department monthly expense statements including the te and headcount reportingassist business partners with budget activity proper expenditure coding document preparation and other accountingrelated activitiesassist accounts payable  accounts receivable team with key activities as neededa strong understanding of computer systems in these areas specifically the new oracle ebs platformaudit all employee expense reports and process accordingly verify and audit all american express statements on a monthly basisaudit monthly asset purchases to reconcile to the sub ledgerfacilitate and assist in each month end closing including a strong understanding of the timing process and scheduling by erp modulesfacilitate the uploading of monthly journal entries and preparation of financial statements in oracle
the candidate
bsc in accounting further education in msc also preferred years of industry experience in an accounting and finance roleadvanced excel skillsexperienced with oracle erp or other sap systemsexperienced working within a manufacturing or consumer goods companyexperienced leading monthly and quarterly reporting"
